,whp,choke,pred,real,WellBore Name
0,600.8203155,12.88031277,2500.3252840410596,2243.3285,001-F-1 C
1,595.542399,12.50454833,2495.855189095252,2228.6099,001-F-1 C
2,586.6234278,11.87936479,2563.339203571126,2129.3537,001-F-1 C
3,580.1579292,11.42070729,2592.9987805144174,2043.621,001-F-1 C
4,576.7122972,11.18613104,2557.878689509632,2043.9355,001-F-1 C
5,575.1865166,11.08779104,2529.627572852016,2025.8203,001-F-1 C
6,570.9272686,10.84628953,2520.825932528839,1939.2699,001-F-1 C
7,61.73157500000002,0.27589,535.28449549785,0.0,001-F-1 C
8,617.1521772,22.39990707,766.5924807794927,0.0,001-F-1 C
9,117.09754889999999,2.636929043,1483.1314864872284,347.208,001-F-1 C
10,447.9655164,4.507812083,1559.6851359328111,1252.1503,001-F-1 C
11,507.4854485999999,5.624685625,1678.0509633669235,1731.1338,001-F-1 C
12,532.3192935,8.099011042,2217.298105223874,1809.2556,001-F-1 C
13,545.5420067,8.980132083,2294.2139202589606,2032.8022,001-F-1 C
14,548.975069,9.253898542,1014.1397912525845,1983.3628,001-F-1 C
15,554.1380689,9.604592917,1254.1087364604427,2027.3299,001-F-1 C
16,555.1124054,9.666686875,1546.2704994283968,2014.9386,001-F-1 C
17,555.7694397,9.703415833,1793.4801574554012,2050.0368,001-F-1 C
18,556.5022063,9.76957,1855.7067290494442,2070.668,001-F-1 C
19,554.2619985,9.624984375,1895.4739628408897,2044.3129,001-F-1 C
20,552.1385823,9.478541042,1920.6819817450842,2033.9973,001-F-1 C
21,548.2866694,9.214866458,1936.2015079631265,2017.0772,001-F-1 C
22,545.9161459,9.04979875,1934.6397494725716,2015.3789,001-F-1 C
23,546.1571118,9.063642708,1914.7375841997937,2029.5943,001-F-1 C
24,544.9738211,8.978537708,1908.903119556181,2027.896,001-F-1 C
25,541.7273678,8.755220833,1903.2531180036149,2020.6625,001-F-1 C
26,541.0782602,8.70129375,1862.2202771355796,2020.4738,001-F-1 C
27,538.4224795,8.507578125,1877.5430892981049,2033.9973,001-F-1 C
28,527.1935164,7.728787917,1981.6120823906758,2053.9366,001-F-1 C
29,533.891447,8.182811667,1841.8796506170147,1988.9609,001-F-1 C
30,531.8472189,8.0593325,1880.180557038886,1976.5067,001-F-1 C
31,532.5875345,8.109852917,1870.1938485781948,1974.5568,001-F-1 C
32,531.427462,8.026845417,1827.9394585413356,1976.5696,001-F-1 C
33,530.5419893,7.958775417,1800.671368389102,1996.8863,001-F-1 C
34,530.0369817,7.917633,1857.0718732762462,2095.4506,001-F-1 C
35,536.4528629,8.444459792,1778.5829649334664,2001.478,001-F-1 C
36,531.6539913,8.208829583,1879.9774786880544,1982.2306,001-F-1 C
37,523.1113011,7.609122917,1962.99739727407,1914.4244,001-F-1 C
38,520.0819551,7.245215833,1995.957914679364,2001.7925,001-F-1 C
39,534.2038767,8.233908958,1856.7959346823154,2029.0282,001-F-1 C
40,528.6010646,7.83321,1903.5769939185184,1991.0366,001-F-1 C
41,525.2689676,7.587975833,1833.8267404136122,2020.9141,001-F-1 C
42,522.4067099,7.379769167,1725.332169182444,1856.6193,001-F-1 C
