,whp,choke,pred,real,WellBore Name
0,600.8203155,12.88031277,2368.899589740723,2243.3285,001-F-1 C
1,595.542399,12.50454833,2368.7877845951316,2228.6099,001-F-1 C
2,586.6234278,11.87936479,2432.75461362428,2129.3537,001-F-1 C
3,580.1579292,11.42070729,2463.3294243486534,2043.621,001-F-1 C
4,576.7122972,11.18613104,2438.3754383923833,2043.9355,001-F-1 C
5,575.1865166,11.08779104,2421.8005797105843,2025.8203,001-F-1 C
6,570.9272686,10.84628953,2415.7168680878476,1939.2699,001-F-1 C
7,61.73157500000002,0.27589,383.8172944050093,0.0,001-F-1 C
8,617.1521772,22.39990707,819.7137078304986,0.0,001-F-1 C
9,117.09754889999999,2.636929043,1500.6415139806604,347.208,001-F-1 C
10,447.9655164,4.507812083,1319.5002649444305,1252.1503,001-F-1 C
11,507.4854485999999,5.624685625,1928.1384470910425,1731.1338,001-F-1 C
12,532.3192935,8.099011042,2263.764606743228,1809.2556,001-F-1 C
13,545.5420067,8.980132083,2514.975797801485,2032.8022,001-F-1 C
14,548.975069,9.253898542,1021.0971273699197,1983.3628,001-F-1 C
15,554.1380689,9.604592917,1177.9846074003071,2027.3299,001-F-1 C
16,555.1124054,9.666686875,1436.269375128937,2014.9386,001-F-1 C
17,555.7694397,9.703415833,1679.2385024754685,2050.0368,001-F-1 C
18,556.5022063,9.76957,1742.5722581493155,2070.668,001-F-1 C
19,554.2619985,9.624984375,1778.6096096149777,2044.3129,001-F-1 C
20,552.1385823,9.478541042,1802.8744641710364,2033.9973,001-F-1 C
21,548.2866694,9.214866458,1811.3187686914443,2017.0772,001-F-1 C
22,545.9161459,9.04979875,1809.6855768256437,2015.3789,001-F-1 C
23,546.1571118,9.063642708,1798.5762442204004,2029.5943,001-F-1 C
24,544.9738211,8.978537708,1799.8645175811798,2027.896,001-F-1 C
25,541.7273678,8.755220833,1793.4499687208772,2020.6625,001-F-1 C
26,541.0782602,8.70129375,1757.1763699240173,2020.4738,001-F-1 C
27,538.4224795,8.507578125,1772.2058131276772,2033.9973,001-F-1 C
28,527.1935164,7.728787917,1853.5992522386405,2053.9366,001-F-1 C
29,533.891447,8.182811667,1737.2286978941102,1988.9609,001-F-1 C
30,531.8472189,8.0593325,1774.6294174576296,1976.5067,001-F-1 C
31,532.5875345,8.109852917,1771.916613984532,1974.5568,001-F-1 C
32,531.427462,8.026845417,1735.6630359337914,1976.5696,001-F-1 C
33,530.5419893,7.958775417,1707.4543907281222,1996.8863,001-F-1 C
34,530.0369817,7.917633,1757.8887368062906,2095.4506,001-F-1 C
35,536.4528629,8.444459792,1702.1291254289736,2001.478,001-F-1 C
36,531.6539913,8.208829583,1786.7651884772895,1982.2306,001-F-1 C
37,523.1113011,7.609122917,1841.0599812874852,1914.4244,001-F-1 C
38,520.0819551,7.245215833,1864.44626039982,2001.7925,001-F-1 C
39,534.2038767,8.233908958,1779.0603195434478,2029.0282,001-F-1 C
40,528.6010646,7.83321,1717.6115610291927,1991.0366,001-F-1 C
41,525.2689676,7.587975833,1647.5045783181931,2020.9141,001-F-1 C
42,522.4067099,7.379769167,1534.0356311277328,1856.6193,001-F-1 C
43,520.4358306,7.242466042,1523.3986813007477,1828.3772,001-F-1 C
44,508.8989479,6.445585833,1601.5234563736494,1813.1554,001-F-1 C
45,509.557695,6.485084583,1494.4034621247629,1837.4977,001-F-1 C
46,529.0041857,7.915645417,1294.5143090379934,1843.7877,001-F-1 C
